province_name_th,province_name_en,region,g1_energy,g2_water,g3_population,g4_education,g5_flood,g6_industrial,g7_highway,raw_mw,raw_water_sources,raw_population,raw_education,raw_flood_zone,raw_industrial,raw_boi,gate_passed_count,gate_status,lat,lng
กรุงเทพมหานคร,Bangkok,Central,1,0,1,1,0,1,ไม่มีข้อมูล,113.9,0,5455020,106,สูง,0,9,4,PASS,13.7563,100.5018
สมุทรปราการ,Samut Prakan,Central,1,0,1,1,1,1,ไม่มีข้อมูล,367.7,0,1370854,8,ปานกลาง,5,5,5,PASS,13.5991,100.5998
นนทบุรี,Nonthaburi,Central,0,0,1,1,0,0,ไม่มีข้อมูล,0.0,0,1306080,10,สูง,0,0,2,FAIL,13.8621,100.5144
ปทุมธานี,Pathum Thani,Central,1,1,1,1,0,1,ไม่มีข้อมูล,713.9,1,1217319,16,สูงมาก,0,2,5,PASS,14.0208,100.525
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,1,0,1,1,0,1,ไม่มีข้อมูล,2405.13,0,820839,14,สูงมาก,3,0,4,PASS,14.3692,100.5877
อ่างทอง,Ang Thong,Central,1,0,0,1,0,1,ไม่มีข้อมูล,124.51,0,270309,4,สูง,1,0,3,PASS,14.5896,100.455
ลพบุรี,Lopburi,Central,1,1,1,1,0,0,ไม่มีข้อมูล,166.0,1,775400,10,สูง,0,0,4,PASS,14.7995,100.6534
สิงห์บุรี,Sing Buri,Central,0,0,0,1,0,0,ไม่มีข้อมูล,0.0,0,213717,5,สูงมาก,0,0,1,FAIL,14.8921,100.4009
ชัยนาท,Chainat,Central,0,0,0,1,0,0,ไม่มีข้อมูล,6.0,0,337398,4,สูง,0,0,1,FAIL,15.1851,100.1253
สระบุรี,Saraburi,Central,1,1,1,1,1,1,ไม่มีข้อมูล,4086.69,1,637573,10,ปานกลาง,2,0,6,PASS,14.5289,100.9105
ชลบุรี,Chonburi,East (EEC),1,1,1,1,1,1,ไม่มีข้อมูล,4554.42,2,1615570,23,ต่ำ,17,6,6,PASS,13.3611,100.9847
ระยอง,Rayong,East (EEC),1,1,1,1,1,1,ไม่มีข้อมูล,8643.5,5,770002,10,ต่ำ,14,4,6,PASS,12.6814,101.2816
จันทบุรี,Chanthaburi,East,0,0,1,1,1,0,ไม่มีข้อมูล,23.06,0,535610,10,ต่ำ,0,0,3,PASS,12.6111,102.1037
ตราด,Trat,East,0,0,0,1,1,0,ไม่มีข้อมูล,0.0,0,226702,4,ต่ำ,0,0,2,FAIL,12.2427,102.5177
ฉะเชิงเทรา,Chachoengsao,East (EEC),1,1,1,1,1,1,ไม่มีข้อมูล,222.14,1,729419,10,ปานกลาง,5,2,6,PASS,13.6904,101.0779
ปราจีนบุรี,Prachinburi,East,1,0,0,1,1,1,ไม่มีข้อมูล,246.57,0,498793,8,ปานกลาง,2,0,4,PASS,14.0528,101.3487
นครนายก,Nakhon Nayok,East,0,1,0,1,0,0,ไม่มีข้อมูล,0.0,2,259717,8,ไม่ระบุ,0,0,2,FAIL,14.2049,101.2131
สระแก้ว,Sa Kaeo,East,1,0,1,1,1,1,ไม่มีข้อมูล,128.0,0,562034,5,ต่ำ-ปานกลาง,1,0,5,PASS,13.8241,102.0645
นครราชสีมา,Nakhon Ratchasima,Northeast,1,1,1,1,1,0,ไม่มีข้อมูล,1227.9,2,2620172,25,ปานกลาง,0,0,5,PASS,14.9799,102.0978
บุรีรัมย์,Buri Ram,Northeast,0,0,1,1,1,0,ไม่มีข้อมูล,99.67,0,1570806,15,ปานกลาง,0,0,3,PASS,14.993,103.1029
สุรินทร์,Surin,Northeast,1,0,1,1,1,0,ไม่มีข้อมูล,106.95,0,1365733,14,ปานกลาง,0,0,4,PASS,14.8827,103.4937
ศรีสะเกษ,Si Sa Ket,Northeast,0,0,1,1,1,0,ไม่มีข้อมูล,0.0,0,1448101,14,ปานกลาง,0,0,3,PASS,15.1165,104.322
อุบลราชธานี,Ubon Ratchathani,Northeast,0,0,1,1,0,0,ไม่มีข้อมูล,0.0,0,1867942,19,ปานกลาง-สูง,0,0,2,FAIL,15.2287,104.8573
ยโสธร,Yasothon,Northeast,0,0,1,1,0,0,ไม่มีข้อมูล,0.0,0,548018,5,ไม่ระบุ,0,0,2,FAIL,15.7925,104.1451
ชัยภูมิ,Chaiyaphum,Northeast,1,0,1,1,0,0,ไม่มีข้อมูล,448.9,0,1111663,9,ไม่ระบุ,0,0,3,PASS,15.8068,102.0319
อำนาจเจริญ,Amnat Charoen,Northeast,0,0,0,1,1,0,ไม่มีข้อมูล,0.0,0,372490,4,ปานกลาง,0,0,2,FAIL,15.8656,104.6259
บึงกาฬ,Bueng Kan,Northeast,0,0,0,1,1,0,ไม่มีข้อมูล,0.0,0,411563,3,ปานกลาง,0,0,2,FAIL,18.3609,103.6461
หนองบัวลำภู,Nong Bua Lam Phu,Northeast,0,0,1,1,1,0,ไม่มีข้อมูล,0.0,0,526669,5,ปานกลาง,0,0,3,PASS,17.2033,102.426
ขอนแก่น,Khon Kaen,Northeast,0,1,1,1,1,0,ไม่มีข้อมูล,81.0,1,1772381,23,ปานกลาง,0,0,4,PASS,16.4322,102.8236
อุดรธานี,Udon Thani,Northeast,1,0,1,1,1,1,ไม่มีข้อมูล,149.5,0,1556124,18,ปานกลาง,1,0,5,PASS,17.4138,102.7872
เลย,Loei,Northeast,0,0,1,1,0,0,ไม่มีข้อมูล,67.0,0,642799,6,ไม่ระบุ,0,0,2,FAIL,17.486,101.7223
หนองคาย,Nong Khai,Northeast,0,0,1,1,1,0,ไม่มีข้อมูล,0.0,0,521087,5,ปานกลาง,0,0,3,PASS,17.8782,102.746
มหาสารคาม,Maha Sarakham,Northeast,0,0,1,1,1,0,ไม่มีข้อมูล,0.0,0,1011716,11,ปานกลาง,0,0,3,PASS,16.1852,103.3001
