province_name_th,province_name_en,region,rank_overall,overall_score,grade,tier,gate_status,energy_score_pct,water_score_pct,talent_score_pct,business_score_pct,infrastructure_score_pct,risk_score_pct,energy_score,water_score,talent_score,business_score,infrastructure_score,risk_score,EEC,Strategic,strengths,weaknesses,analyst_note,installed_mw,storage_mcm,univ_count,voc_count,boi_projects,ieat_count,dc_it_load_mw,risk_raw,lat,lng
ชลบุรี,Chonburi,East (EEC),1,77.5,B,Tier 1 – Prime,PASS,81.54,52.3,76,100.0,100,83.0,28.54,10.46,15.2,7.5,7.5,8.3,1,0,"พลังงาน, บุคลากร, BOI/ธุรกิจ, โครงสร้างพื้นฐาน",-,,4554.42,117,15,8,6,17,245.5,83.0,13.3611,100.9847
ระยอง,Rayong,East (EEC),2,75.86,B,Tier 1 – Prime,PASS,100.0,65.3,30,75.33,100,86.5,35.0,13.06,6.0,5.65,7.5,8.65,1,0,"พลังงาน, น้ำ, BOI/ธุรกิจ, โครงสร้างพื้นฐาน",-,,8643.5,567,5,5,4,14,60.0,86.5,12.6814,101.2816
ราชบุรี,Ratchaburi,West,3,61.02,C,Tier 2 – Suitable,PASS,98.87,37.2,38,30.0,25,72.5,34.6,7.44,7.6,2.25,1.88,7.25,0,0,พลังงาน,โครงสร้างพื้นฐาน,,5986.94,0,6,7,0,1,0.0,72.5,13.536,99.8175
กรุงเทพมหานคร,Bangkok,Central,4,57.36,C,Tier 2 – Suitable,PASS,40.0,51.7,100,79.88,25,51.5,14.0,10.34,20.0,5.99,1.88,5.15,0,0,"บุคลากร, BOI/ธุรกิจ",โครงสร้างพื้นฐาน,,113.9,0,85,21,9,0,25.0,51.5,13.7563,100.5018
นครราชสีมา,Nakhon Ratchasima,Northeast,5,55.64,C,Tier 2 – Suitable,PASS,60.28,38.8,76,30.0,25,74.6,21.1,7.76,15.2,2.25,1.88,7.46,0,1,"พลังงาน, บุคลากร",โครงสร้างพื้นฐาน,,1227.9,314,13,12,0,0,0.0,74.6,14.9799,102.0978
สุราษฎร์ธานี,Surat Thani,South,6,53.36,C,Tier 2 – Suitable,PASS,40.0,99.9,40,30.0,25,72.5,14.0,19.98,8.0,2.25,1.88,7.25,0,0,น้ำ,โครงสร้างพื้นฐาน,,9.9,5639,6,8,0,0,0.0,72.5,9.1382,99.3214
กาญจนบุรี,Kanchanaburi,West,8,52.04,C,Tier 2 – Suitable,PASS,40.0,99.6,38,30.0,25,63.9,14.0,19.92,7.6,2.25,1.88,6.39,0,0,น้ำ,โครงสร้างพื้นฐาน,,270.65,8860,6,7,0,0,0.0,63.9,14.0023,99.5484
สระบุรี,Saraburi,Central,9,50.95,C,Tier 2 – Suitable,PASS,76.87,34.9,26,30.0,25,77.4,26.9,6.98,5.2,2.25,1.88,7.74,0,0,พลังงาน,"บุคลากร, โครงสร้างพื้นฐาน",,4086.69,0,3,7,0,2,0.0,77.4,14.5289,100.9105
ขอนแก่น,Khon Kaen,Northeast,7,52.66,C,Tier 2 – Suitable,PASS,40.0,68.4,68,30.0,25,72.5,14.0,13.68,13.6,2.25,1.88,7.25,0,1,"น้ำ, บุคลากร",โครงสร้างพื้นฐาน,,81.0,2431,11,12,0,0,0.0,72.5,16.4322,102.8236
ตาก,Tak,North,12,49.15,D,Tier 3 – Conditional,CONDITIONAL,40.0,99.8,24,30.0,25,62.6,14.0,19.96,4.8,2.25,1.88,6.26,0,0,น้ำ,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,13462,4,4,0,0,0.0,62.6,16.8798,99.1268
อุตรดิตถ์,Uttaradit,North,11,49.24,D,Tier 3 – Conditional,CONDITIONAL,40.0,99.8,20,30.0,25,71.5,14.0,19.96,4.0,2.25,1.88,7.15,0,0,น้ำ,"บุคลากร, โครงสร้างพื้นฐาน",,127.01,9510,2,5,0,0,0.0,71.5,17.6201,100.0993
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,38,39.72,D,Tier 4 – Not Recommended,REVIEW,51.05,30.0,38,30.0,30,37.5,17.87,6.0,7.6,2.25,2.25,3.75,0,0,-,-,,2405.13,0,5,9,0,3,0.0,37.5,14.3692,100.5877
เพชรบุรี,Phetchaburi,West,10,49.35,D,Tier 3 – Conditional,CONDITIONAL,40.0,77.3,38,30.0,25,81.6,14.0,15.46,7.6,2.25,1.88,8.16,0,0,น้ำ,โครงสร้างพื้นฐาน,,0.0,3010,6,7,0,0,0.0,81.6,13.1119,99.9387
นครศรีธรรมราช,Nakhon Si Thammarat,South,14,48.2,D,Tier 3 – Conditional,CONDITIONAL,40.0,44.1,70,30.0,25,72.5,14.0,8.82,14.0,2.25,1.88,7.25,0,0,บุคลากร,โครงสร้างพื้นฐาน,,1020.0,0,12,11,0,0,0.0,72.5,8.4304,99.9631
สงขลา,Songkhla,South,13,48.46,D,Tier 3 – Conditional,CONDITIONAL,40.0,47.3,68,30.0,30,69.0,14.0,9.46,13.6,2.25,2.25,6.9,0,1,บุคลากร,-,,59.0,0,12,10,0,3,0.0,69.0,7.1756,100.6143
เชียงใหม่,Chiang Mai,North,21,43.53,D,Tier 3 – Conditional,CONDITIONAL,40.0,30.0,68,30.0,25,58.0,14.0,6.0,13.6,2.25,1.88,5.8,0,1,บุคลากร,โครงสร้างพื้นฐาน,,0.0,0,13,8,0,0,0.0,58.0,18.7883,98.9853
สุพรรณบุรี,Suphan Buri,West,47,39.13,D,Tier 4 – Not Recommended,REVIEW,40.0,30.0,40,30.0,25,70.0,14.0,6.0,8.0,2.25,1.88,7.0,0,0,-,โครงสร้างพื้นฐาน,,264.01,0,7,6,0,0,0.0,70.0,14.4745,100.1177
แพร่,Phrae,North,37,40.21,D,Tier 3 – Conditional,CONDITIONAL,40.0,43.4,32,30.0,25,70.0,14.0,8.68,6.4,2.25,1.88,7.0,0,0,-,โครงสร้างพื้นฐาน,,0.0,0,5,6,0,0,0.0,70.0,18.1446,100.1405
ฉะเชิงเทรา,Chachoengsao,East (EEC),20,44.32,D,Tier 3 – Conditional,CONDITIONAL,40.0,36.6,26,100.0,50,65.5,14.0,7.32,5.2,7.5,3.75,6.55,1,0,BOI/ธุรกิจ,บุคลากร,,222.14,0,3,7,2,5,200.0,65.5,13.6904,101.0779
นครปฐม,Nakhon Pathom,Central,17,44.74,D,Tier 3 – Conditional,CONDITIONAL,40.0,43.8,60,30.0,25,58.5,14.0,8.76,12.0,2.25,1.88,5.85,0,0,บุคลากร,โครงสร้างพื้นฐาน,,0.0,0,12,6,0,0,0.0,58.5,13.8199,100.0624
ชัยภูมิ,Chaiyaphum,Northeast,63,37.73,D,Tier 4 – Not Recommended,REVIEW,40.0,37.0,26,30.0,25,70.0,14.0,7.4,5.2,2.25,1.88,7.0,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,448.9,0,4,5,0,0,0.0,70.0,15.8068,102.0319
สมุทรปราการ,Samut Prakan,Central,15,47.65,D,Tier 3 – Conditional,CONDITIONAL,40.0,53.5,24,100.0,50,69.0,14.0,10.7,4.8,7.5,3.75,6.9,0,0,BOI/ธุรกิจ,บุคลากร,,367.7,0,4,4,5,5,171.5,69.0,13.5991,100.5998
หนองคาย,Nong Khai,Northeast,59,38.19,D,Tier 4 – Not Recommended,REVIEW,40.0,41.6,20,30.0,25,77.4,14.0,8.32,4.0,2.25,1.88,7.74,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,2,3,0,0,0.0,77.4,17.8782,102.746
ปทุมธานี,Pathum Thani,Central,22,43.02,D,Tier 3 – Conditional,CONDITIONAL,40.0,44.2,58,30.0,25,44.5,14.0,8.84,11.6,2.25,1.88,4.45,0,0,-,โครงสร้างพื้นฐาน,,713.9,0,13,3,2,0,0.0,44.5,14.0208,100.525
ลำปาง,Lampang,North,18,44.53,D,Tier 3 – Conditional,CONDITIONAL,40.0,39.0,58,30.0,25,70.0,14.0,7.8,11.6,2.25,1.88,7.0,0,0,-,โครงสร้างพื้นฐาน,,128.4,0,11,7,0,0,0.0,70.0,18.2888,99.4909
อุบลราชธานี,Ubon Ratchathani,Northeast,25,42.28,D,Tier 3 – Conditional,CONDITIONAL,40.0,30.0,58,30.0,25,65.5,14.0,6.0,11.6,2.25,1.88,6.55,0,0,-,โครงสร้างพื้นฐาน,,0.0,0,10,9,0,0,0.0,65.5,15.2287,104.8573
พังงา,Phang Nga,South,41,39.59,D,Tier 4 – Not Recommended,REVIEW,40.0,52.3,20,30.0,25,70.0,14.0,10.46,4.0,2.25,1.88,7.0,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,2,4,0,0,0.0,70.0,8.4511,98.5253
ประจวบคีรีขันธ์,Prachuap Khiri Khan,West,53,38.85,D,Tier 4 – Not Recommended,REVIEW,40.0,48.6,20,30.0,25,70.0,14.0,9.72,4.0,2.25,1.88,7.0,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,2,4,0,0,0.0,70.0,11.8126,99.7975
ระนอง,Ranong,South,39,39.65,D,Tier 4 – Not Recommended,REVIEW,40.0,52.6,20,30.0,25,70.0,14.0,10.52,4.0,2.25,1.88,7.0,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,2,3,0,0,0.0,70.0,9.9529,98.6083
เลย,Loei,Northeast,56,38.35,D,Tier 4 – Not Recommended,REVIEW,40.0,46.1,20,30.0,25,70.0,14.0,9.22,4.0,2.25,1.88,7.0,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,67.0,0,2,4,0,0,0.0,70.0,17.486,101.7223
นครนายก,Nakhon Nayok,East,35,40.69,D,Tier 3 – Conditional,CONDITIONAL,40.0,51.8,26,30.0,25,70.0,14.0,10.36,5.2,2.25,1.88,7.0,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,314,5,3,0,0,0.0,70.0,14.2049,101.2131
อุดรธานี,Udon Thani,Northeast,24,42.39,D,Tier 3 – Conditional,CONDITIONAL,40.0,30.0,54,30.0,25,74.6,14.0,6.0,10.8,2.25,1.88,7.46,0,0,-,โครงสร้างพื้นฐาน,,149.5,0,9,9,0,1,0.0,74.6,17.4138,102.7872
อุทัยธานี,Uthai Thani,Central,72,35.49,D,Tier 4 – Not Recommended,REVIEW,40.0,31.8,20,30.0,25,70.0,14.0,6.36,4.0,2.25,1.88,7.0,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,20.0,0,3,3,0,0,0.0,70.0,15.3835,100.0248
กาฬสินธุ์,Kalasin,Northeast,67,37.19,D,Tier 4 – Not Recommended,REVIEW,40.0,40.3,20,30.0,25,70.0,14.0,8.06,4.0,2.25,1.88,7.0,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,32.0,0,2,6,0,0,0.0,70.0,16.4337,103.5059
สกลนคร,Sakon Nakhon,Northeast,43,39.35,D,Tier 4 – Not Recommended,REVIEW,40.0,51.1,20,30.0,25,70.0,14.0,10.22,4.0,2.25,1.88,7.0,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,520,3,4,0,0,0.0,70.0,17.1667,104.15
ยโสธร,Yasothon,Northeast,65,37.45,D,Tier 4 – Not Recommended,REVIEW,40.0,41.6,20,30.0,25,70.0,14.0,8.32,4.0,2.25,1.88,7.0,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,2,3,0,0,0.0,70.0,15.7925,104.1451
เชียงราย,Chiang Rai,North,42,39.58,D,Tier 4 – Not Recommended,REVIEW,40.0,30.0,48,30.0,25,58.5,14.0,6.0,9.6,2.25,1.88,5.85,0,0,-,โครงสร้างพื้นฐาน,,0.0,0,8,8,0,0,0.0,58.5,19.9105,99.8406
พิษณุโลก,Phitsanulok,North,54,38.72,D,Tier 4 – Not Recommended,REVIEW,40.0,30.0,44,30.0,25,57.9,14.0,6.0,8.8,2.25,1.88,5.79,0,0,-,โครงสร้างพื้นฐาน,,133.92,0,8,6,0,0,0.0,57.9,16.8211,100.2659
ตรัง,Trang,South,16,44.77,D,Tier 3 – Conditional,CONDITIONAL,40.0,49.7,42,30.0,25,83.0,14.0,9.94,8.4,2.25,1.88,8.3,0,0,-,โครงสร้างพื้นฐาน,,0.0,0,7,7,0,0,0.0,83.0,7.5591,99.6113
ยะลา,Yala,South,19,44.49,D,Tier 3 – Conditional,CONDITIONAL,40.0,51.1,42,30.0,25,77.4,14.0,10.22,8.4,2.25,1.88,7.74,0,0,-,โครงสร้างพื้นฐาน,,23.0,0,8,5,0,0,0.0,77.4,6.5407,101.2803
นครสวรรค์,Nakhon Sawan,Central,66,37.33,D,Tier 4 – Not Recommended,REVIEW,40.0,30.0,42,30.0,25,48.0,14.0,6.0,8.4,2.25,1.88,4.8,0,0,-,โครงสร้างพื้นฐาน,,321.13,0,7,7,0,0,0.0,48.0,15.703,100.137
บุรีรัมย์,Buri Ram,Northeast,32,40.93,D,Tier 3 – Conditional,CONDITIONAL,40.0,34.7,42,30.0,25,74.6,14.0,6.94,8.4,2.25,1.88,7.46,0,0,-,โครงสร้างพื้นฐาน,,99.67,0,6,9,0,0,0.0,74.6,14.993,103.1029
สุรินทร์,Surin,Northeast,30,41.13,D,Tier 3 – Conditional,CONDITIONAL,40.0,37.0,40,30.0,25,76.0,14.0,7.4,8.0,2.25,1.88,7.6,0,0,-,โครงสร้างพื้นฐาน,,106.95,0,6,8,0,0,0.0,76.0,14.8827,103.4937
นนทบุรี,Nonthaburi,Central,27,41.37,D,Tier 3 – Conditional,CONDITIONAL,40.0,50.7,38,30.0,25,55.0,14.0,10.14,7.6,2.25,1.88,5.5,0,0,-,โครงสร้างพื้นฐาน,,0.0,0,9,1,0,0,0.0,55.0,13.8621,100.5144
ศรีสะเกษ,Si Sa Ket,Northeast,48,39.08,D,Tier 4 – Not Recommended,REVIEW,40.0,30.5,38,30.0,25,72.5,14.0,6.1,7.6,2.25,1.88,7.25,0,0,-,โครงสร้างพื้นฐาน,,0.0,0,5,9,0,0,0.0,72.5,15.1165,104.322
จันทบุรี,Chanthaburi,East,23,42.95,D,Tier 3 – Conditional,CONDITIONAL,40.0,51.3,32,30.0,25,81.6,14.0,10.26,6.4,2.25,1.88,8.16,0,0,-,โครงสร้างพื้นฐาน,,23.06,0,6,4,0,0,0.0,81.6,12.6111,102.1037
มหาสารคาม,Maha Sarakham,Northeast,45,39.21,D,Tier 4 – Not Recommended,REVIEW,40.0,38.2,32,30.0,25,70.4,14.0,7.64,6.4,2.25,1.88,7.04,0,0,-,โครงสร้างพื้นฐาน,,0.0,0,5,6,0,0,0.0,70.4,16.1852,103.3001
เพชรบูรณ์,Phetchabun,North,69,36.33,D,Tier 4 – Not Recommended,REVIEW,40.0,30.0,30,30.0,25,62.0,14.0,6.0,6.0,2.25,1.88,6.2,0,0,-,โครงสร้างพื้นฐาน,,253.54,0,5,5,0,0,0.0,62.0,16.4189,101.1553
ปัตตานี,Pattani,South,30,41.13,D,Tier 3 – Conditional,CONDITIONAL,40.0,49.7,28,30.0,25,74.6,14.0,9.94,5.6,2.25,1.88,7.46,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,23.0,0,4,6,0,0,0.0,74.6,6.8695,101.2503
สุโขทัย,Sukhothai,North,71,35.79,D,Tier 4 – Not Recommended,REVIEW,40.0,30.0,28,30.0,25,60.6,14.0,6.0,5.6,2.25,1.88,6.06,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,82.37,0,4,6,0,0,0.0,60.6,17.0063,99.8265
ร้อยเอ็ด,Roi Et,Northeast,68,36.89,D,Tier 4 – Not Recommended,REVIEW,40.0,34.8,28,30.0,25,62.0,14.0,6.96,5.6,2.25,1.88,6.2,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,8,0,0,0.0,62.0,16.0538,103.652
ชุมพร,Chumphon,South,34,40.71,D,Tier 3 – Conditional,CONDITIONAL,40.0,46.1,26,30.0,25,81.6,14.0,9.22,5.2,2.25,1.88,8.16,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,7,0,0,0.0,81.6,10.493,99.18
พะเยา,Phayao,North,46,39.2,D,Tier 4 – Not Recommended,REVIEW,40.0,44.4,26,30.0,25,69.9,14.0,8.88,5.2,2.25,1.88,6.99,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,142.23,0,4,5,0,0,0.0,69.9,19.1664,99.9037
ปราจีนบุรี,Prachinburi,East,62,37.75,D,Tier 4 – Not Recommended,REVIEW,40.0,39.6,24,30.0,25,69.0,14.0,7.92,4.8,2.25,1.88,6.9,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,246.57,0,4,4,0,2,0.0,69.0,14.0528,101.3487
ลพบุรี,Lopburi,Central,51,38.94,D,Tier 4 – Not Recommended,REVIEW,40.0,50.8,24,30.0,25,58.5,14.0,10.16,4.8,2.25,1.88,5.85,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,166.0,960,2,8,0,0,0.0,58.5,14.7995,100.6534
สมุทรสาคร,Samut Sakhon,Central,36,40.39,D,Tier 3 – Conditional,CONDITIONAL,40.0,53.2,20,30.0,30,72.5,14.0,10.64,4.0,2.25,2.25,7.25,0,0,-,บุคลากร,,0.0,0,3,3,0,3,0.0,72.5,13.5478,100.2741
ภูเก็ต,Phuket,South,26,41.81,D,Tier 3 – Conditional,CONDITIONAL,40.0,54.1,20,30.0,25,88.6,14.0,10.82,4.0,2.25,1.88,8.86,0,1,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,4,0,0,0.0,88.6,7.8804,98.3923
สตูล,Satun,South,28,41.33,D,Tier 3 – Conditional,CONDITIONAL,40.0,51.7,20,30.0,25,88.6,14.0,10.34,4.0,2.25,1.88,8.86,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,2,3,0,0,0.0,88.6,6.6238,100.0674
ตราด,Trat,East,29,41.3,D,Tier 3 – Conditional,CONDITIONAL,40.0,52.6,20,30.0,25,86.5,14.0,10.52,4.0,2.25,1.88,8.65,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,1,3,0,0,0.0,86.5,12.2427,102.5177
กระบี่,Krabi,South,33,40.79,D,Tier 3 – Conditional,CONDITIONAL,40.0,51.1,20,30.0,25,84.4,14.0,10.22,4.0,2.25,1.88,8.44,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,1,5,0,0,0.0,84.4,8.0863,98.9063
สระแก้ว,Sa Kaeo,East,55,38.61,D,Tier 4 – Not Recommended,REVIEW,40.0,43.7,20,30.0,25,77.4,14.0,8.74,4.0,2.25,1.88,7.74,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,128.0,0,2,3,0,1,0.0,77.4,13.8241,102.0645
พัทลุง,Phatthalung,South,44,39.33,D,Tier 4 – Not Recommended,REVIEW,40.0,47.3,20,30.0,25,77.4,14.0,9.46,4.0,2.25,1.88,7.74,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,1,6,0,0,0.0,77.4,7.6166,100.074
ลำพูน,Lamphun,North,58,38.24,D,Tier 4 – Not Recommended,REVIEW,40.0,42.8,20,30.0,25,75.5,14.0,8.56,4.0,2.25,1.88,7.55,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,4,0,2,0.0,75.5,18.5748,99.0087
น่าน,Nan,North,52,38.91,D,Tier 4 – Not Recommended,REVIEW,40.0,46.4,20,30.0,25,75.0,14.0,9.28,4.0,2.25,1.88,7.5,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,4,0,0,0.0,75.0,18.7756,100.773
บึงกาฬ,Bueng Kan,Northeast,49,39.05,D,Tier 4 – Not Recommended,REVIEW,40.0,47.3,20,30.0,25,74.6,14.0,9.46,4.0,2.25,1.88,7.46,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,1,2,0,0,0.0,74.6,18.3609,103.6461
หนองบัวลำภู,Nong Bua Lam Phu,Northeast,60,38.13,D,Tier 4 – Not Recommended,REVIEW,40.0,42.7,20,30.0,25,74.6,14.0,8.54,4.0,2.25,1.88,7.46,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,3,2,0,0,0.0,74.6,17.2033,102.426
อำนาจเจริญ,Amnat Charoen,Northeast,61,37.95,D,Tier 4 – Not Recommended,REVIEW,40.0,43.9,20,30.0,25,70.4,14.0,8.78,4.0,2.25,1.88,7.04,0,0,-,"บุคลากร, โครงสร้างพื้นฐาน",,0.0,0,2,2,0,0,0.0,70.4,15.8656,104.6259
