province_name_th,province_name_en,region,gate_result,passed_gate,overall_score,energy_score_pct,water_score_pct,talent_score_pct,risk_score_pct,business_score_pct,infrastructure_score_pct,energy_score,water_score,talent_score,risk_score,business_score,infrastructure_score,grade,tier,rank_overall,EEC,Strategic,installed_mw,storage_mcm,univ_count,voc_count,boi_projects,ieat_count,dc_it_load_mw,flood_risk,seismic_risk,lat,lng
ชลบุรี,Chonburi,East (EEC),6/6 ข้อ,True,77.49645600000001,81.54416,52.28,76.0,83.0,100.0,100.0,28.54,10.46,15.2,8.3,7.5,7.5,B,Tier 1 – Prime (Enterprise 10–100 MW),1.0,1,0,4554.42,117,15,8,6,17,245.5,80,90,13.3611,100.9847
ระยอง,Rayong,East (EEC),6/6 ข้อ,True,75.86701624999999,100.0,65.338,30.0,86.5,75.32554999999999,100.0,35.0,13.07,6.0,8.65,5.65,7.5,B,Tier 1 – Prime (Enterprise 10–100 MW),2.0,1,0,8643.5,567,5,5,4,14,60.0,85,90,12.6814,101.2816
ราชบุรี,Ratchaburi,West,5/6 ข้อ,True,61.023293499999994,98.86940999999999,37.22,38.0,72.5,30.0,25.0,34.6,7.44,7.6,7.25,2.25,1.88,C,Tier 2 – Suitable (Regional DC),3.0,0,0,5986.94,0,6,7,0,1,0.0,65,90,13.536,99.8175
กรุงเทพมหานคร,Bangkok,Central,4/6 ข้อ,True,57.351882499999995,40.0,51.67999999999999,100.0,51.5,79.8784333333333,25.0,14.0,10.34,20.0,5.15,5.99,1.88,C,Tier 2 – Suitable (Regional DC),4.0,0,0,113.9,0,85,21,9,0,25.0,35,90,13.7563,100.5018
นครราชสีมา,Nakhon Ratchasima,Northeast,5/6 ข้อ,True,55.632643,60.27898,38.75,76.0,74.6,30.0,25.0,21.1,7.75,15.2,7.46,2.25,1.88,C,Tier 2 – Suitable (Regional DC),5.0,0,1,1227.9,314,13,12,0,0,0.0,68,90,14.9799,102.0978
สุราษฎร์ธานี,Surat Thani,South,4/6 ข้อ,True,53.345,40.0,99.85,40.0,72.5,30.0,25.0,14.0,19.97,8.0,7.25,2.25,1.88,C,Tier 2 – Suitable (Regional DC),6.0,0,0,9.9,5639,6,8,0,0,0.0,65,90,9.1382,99.3214
ขอนแก่น,Khon Kaen,Northeast,4/6 ข้อ,True,52.6558,40.0,68.404,68.0,72.5,30.0,25.0,14.0,13.68,13.6,7.25,2.25,1.88,C,Tier 2 – Suitable (Regional DC),7.0,0,1,81.0,2431,11,12,0,0,0.0,65,90,16.4322,102.8236
กาญจนบุรี,Kanchanaburi,West,5/6 ข้อ,True,52.043,40.0,99.64,38.0,63.9,30.0,25.0,14.0,19.93,7.6,6.39,2.25,1.88,C,Tier 2 – Suitable (Regional DC),8.0,0,0,270.65,8860,6,7,0,0,0.0,72,45,14.0023,99.5484
สระบุรี,Saraburi,Central,6/6 ข้อ,True,50.9564185,76.86690999999999,34.94,26.0,77.4,30.0,25.0,26.9,6.99,5.2,7.74,2.25,1.88,C,Tier 2 – Suitable (Regional DC),9.0,0,0,4086.69,0,3,7,0,2,0.0,72,90,14.5289,100.9105
เพชรบุรี,Phetchaburi,West,3/6 ข้อ,True,49.343,40.0,77.28999999999999,38.0,81.6,30.0,25.0,14.0,15.46,7.6,8.16,2.25,1.88,D,Tier 3 – Conditional (Edge DC),10.0,0,0,0.0,3010,6,7,0,0,0.0,78,90,13.1119,99.9387
อุตรดิตถ์,Uttaradit,North,4/6 ข้อ,True,49.233,40.0,99.78999999999999,20.0,71.5,30.0,25.0,14.0,19.96,4.0,7.15,2.25,1.88,D,Tier 3 – Conditional (Edge DC),11.0,0,0,127.01,9510,2,5,0,0,0.0,70,75,17.6201,100.0993
